#ID	Name
0x00	Hammer
0x6A	Diamond Gloves
0x6B	Venetia Sheild
0x6C	Defense GLoves
0x6D	Genji Gloves
0x6E	Aegis Gloves
0x6F	Gauntlets
0x70	Leather Hat
0x71	Straw Hat
0x72	Feather Hat
0x73	Steepled Hat
0x74	Headgear
0x75	Magus Hat
0x76	Bandana
0x77	Mage's Hat
0x78	Lamia's Tiara
0x79	Ritual Hat
0x7A	Twist Headband
0x7B	Mantra Band
0x7C	Dark Hat
0x7D	Green Beret
0x7E	Black Hood
0x7F	Red Hat
0x80	Golden Hairpin
0x81	Coronet
0x82	Flash Hat
0x83	Adaman Hat
0x84	Thief Hat
0x85	Holy Miter
0x86	Golden Skullcap
0x87	Circlet
0x88	Rubber Helm
0x89	Bronze Helm
0x8A	Iron Helm
0x8B	Barbut
0x8C	Mythril Helm
0x8D	Gold Helm
0x8E	Cross Helm
0x8F	Diamond Helm
0x90	Platinum Helm
0x91	Kaiser Helm
0x92	Genji Helmet
0x93	Grand Helm
0x94	Aloha T-shirt
0x95	Leather Shirt
0x96	Silk Shirt
0x97	Leather Plate
0x98	Bronze Vest
0x99	Cheain Plate
0x9A	Mythril Vest
0x9B	Adaman Vest
0x9C	Magician Cloack
0x9D	Survival Vest
0x9E	Brigandine
0x9F	Judo Uniform
0xA0	Power Vest
0xA1	Gaia Gear
0xA2	Demon's Vest
0xA3	Minerva's Plate
0xA4	Ninja Gear
0xA5	Dark Gear
0xA6	Rubber Suit
0xA7	Brave Suit
0xA8	Cotton Robe
0xA9	Silk Robe
0xAA	Magician Robe
0xAB	Glutton's Robe
0xAC	White Robe
0xAD	Black Robe
0xAE	Light Robe
0xAF	Robe Of Lords
0xB0	Tin Armor
0xB1	Bronzr Armor
0xB2	Linen Cuirass
0xB3	Chain Mail
0xB4	Mythril Armor
0xB5	Plate Mail
0xB6	Gold Armor
0xB7	Shield Armor
0xB8	Demon's Mail
0xB9	Diamond Armor
0xBA	Platina Armor
0xBB	Carabini Mail
0xBC	Dragon Mail
0xBD	Genji Armor
0xBE	Maximillan
0xBF	Grand Armor
0xC0	Desert Boots
0xC1	Magician Shoe
0xC2	Germinas Boots
0xC3	Sandals
0xC4	Feather Boot
0xC5	Battle Boots
0xC6	Running hoes
0xC7	Anklet
0xC8	Power Belt
0xC9	Black Belt
0xCA	Glass Buckle
0xCB	Madain's Ring
0xCC	Rosetta Ting
0xCD	Reflect Ring
0xCE	Coral Ring
0xCF	Promist Ring
0xD0	Rebirth Ring
0xD1	Protect Ring
0xD2	Pumice Piece
0xD3	Pumice
0xD4	Yellow Scarf
0xD5	Gold Chocker
0xD6	Fairy Earrings
0xD7	Angel Earrings
0xD8	Pearl Rouge
0xD9	Pearl Armlet
0xDA	Cachusha
0xDB	Barette
0xDC	Extension
0xDD	Ribbon
0xDE	Maiden Prayer
0xDF	Ancient Aroma
0xE0	Garnet
0xE1	Amethyst
0xE2	Aquanarine
0xE3	Diamond
0xE4	Emerald
0xE5	Moonstone
0xE6	Ruby
0xE7	Peridot
0xE8	Sapphire
0xE9	Opal
0xEA	Topaz
0xEB	Lapis Lazuli
0xEC	Potion
0xED	Hi-Potion
0xEE	Ether
0xEF	Elixir
0xF0	Phoenix Down
0xF1	Echo Screen
0xF2	Soft
0xF3	Antidote
0xF4	Eye Drops
0xF5	Magic Tag
0xF6	Vaccine
0xF7	Remedy
0xF8	Annoyntment
0xF9	Phoenix Pinion
0xFA	Dark Matter
0xFB	Gysahl Greens
0xFC	Dead Pepper
0xFD	Tent
0xFE	Ore
0xFF	 
